
해당연도,업소명,소재지,메뉴,데이터기준일자
2021,대풍미락횟집함덕본점,제주특별자치도 제주시 조천읍 조함해안로 446,횟집,2021-03-01
2021,아라미당한우전문점,제주특별자치도 제주시 아연로 595,식육(숯불구이),2021-03-01
2021,흑돈가,제주특별자치도 제주시 한라대학로 11 ,식육(숯불구이),2021-03-01
2021,삼춘이야기노형점,제주특별자치도 제주시 광평동로 45,식육(숯불구이),2021-03-01
2021,흑돼지가있는풍경,제주특별자치도 제주시 진군남4길 7-8 ,한식,2021-03-01
2021,(주)삼다도횟집,제주특별자치도 제주시 서해안로 572 ,횟집,2021-03-01
2021,(주)우진해장국,제주특별자치도 제주시 서사로 11,한식,2021-03-01
2021,(주)참숯구이몬트락,제주특별자치도 제주시 임항로 20,식육(숯불구이),2021-03-01
2021,조선화로집제주연북로점,제주특별자치도 제주시 연북로 173,기타,2021-03-01
2021,조마루뼈다귀한림점,제주특별자치도 제주시 한림읍 한림남2길 7,기타,2021-03-01
2021,제주코,제주특별자치도 제주시 한림읍 중산간서로 4494,기타,2021-03-01
2021,제주순풍신제주본점,제주특별자치도 제주시 진군남4길 7-8,한식,2021-03-01
2021,춘월맛집,제주특별자치도 제주시 도두항서길 5,한식,2021-03-01
2021,자매국수,제주특별자치도 제주시 탑동로11길 6,기타,2021-03-01
2021,이가,제주특별자치도 제주시 진군1길 17,기타,2021-03-01
2021,탐나궁,제주특별자치도 제주시 첨단로 199,한식,2021-03-01
2021,육장갈비하귀점,제주특별자치도 제주시 애월읍 하광로 19,기타,2021-03-01
2021,영복갈비,제주특별자치도 제주시 우정로5길 5,기타,2021-03-01
2021,태광식당,제주특별자치도 제주시 탑동로 142 ,한식,2021-03-01
2021,연자모루,제주특별자치도 제주시 조천읍 신촌6길 13,기타,2021-03-01
2021,태하횟집,제주특별자치도 제주시 동한두기길 31-2,횟집,2021-03-01
2021,털보오리닭,제주특별자치도 제주시 조천읍 신북로 479-2,기타,2021-03-01
2021,애담한우,제주특별자치도 제주시 서광로 46-10,식육(숯불구이),2021-03-01
2021,아일랜드본섬,제주특별자치도 제주시 신설로6길 1-1 ,기타,2021-03-01
2021,새미언덕,제주특별자치도 제주시 중산간동로 188-6,한식,2021-03-01
2021,산지물식당,제주특별자치도 제주시 임항로 26,기타,2021-03-01
2021,피자헤븐신제주점,제주특별자치도 제주시 노연로 37-1,기타,2021-03-01
2021,버드나무,제주특별자치도 제주시 조천읍 신북로 540,기타,2021-03-01
2021,밭담,제주특별자치도 제주시 구좌읍 행원로5길 35-20,한식,2021-03-01
2021,명품전통육개장,제주특별자치도 제주시 원노형로 37,한식,2021-03-01
2021,만족오향족발신제주점,제주특별자치도 제주시 진군1길 15,기타,2021-03-01
2021,해미가,제주특별자치도 제주시 애월읍 애월해안로 866,기타,2021-03-01
2021,동부산가든,제주특별자치도 제주시 봉개북1길 10,기타,2021-03-01
2021,대한축산정육식당,제주특별자치도 제주시 도남로 51,식육(숯불구이),2021-03-01
2021,대풍미락정육식당함덕본점,제주특별자치도 제주시 조천읍 조함해안로 450,기타,2021-03-01
2021,황금손가락삼화점,제주특별자치도 제주시 건주로4길 14-8,기타,2021-03-01
2021,황금손가락함덕점,제주특별자치도 제주시 조천읍 신북로 519,통닭(치킨),2021-03-01
2021,별미해장국본점,제주특별자치도 제주시 조천읍 신북로 608,기타,2021-03-01
2021,(주)풍원정인국수,제주특별자치도 제주시 애월읍 유수암평화길 242,기타,2021-03-01

